placename,uhitmin,uhitmax,uhitavg
Baltimore,-0.7943432874199281,0.52021422065415091,-0.13539180606422008
Memphis,1.8820756065931945,0.80574034181997123,1.347300636746779
San Antonio,2.8215729140921737,0.63828777962475269,1.7343536326050839
Knoxville,1.6380365668168146,3.9737084622322127,2.8031739146342884
Boise City,2.4366015280331674,0.77319852486141794,1.5755501331143122
Sacramento,-1.5435324143912319,-3.3864011582511808,-2.4692757586819609
Fayetteville,2.0418024201930907,0.082210448431810329,1.0613876841281851
Salem,2.4355327284134312,2.6192019296868922,2.5362921685127615
Springfield,1.9843748321982595,-0.076219175404470721,0.96148174777391371
Pittsburgh,1.8171610274276659,-0.36325653962991139,0.7721931500667637
New Orleans,1.9616709101604157,0.53137051934321988,1.2429036327115157
Detroit,-3.8064829265783566,1.3906567119288411,-1.2375666772172651
Seattle,0.29618765646045303,-0.65242005088034749,-0.17168830250104464
Columbus,2.221810697744055,0.71637162218989803,1.4749772914931043
Providence,3.8720783001217791,1.0817110908415217,2.476237743737741
Omaha,1.8708823259824741,-0.57367017040929791,0.65320532802701625
Stockton,-3.581966639975056,12.668685051896835,4.5389735565752405
Tallahassee,2.4310350865137296,0.52285509380174067,1.4682684338652663
Austin,1.9367554668280875,1.6036517904111889,1.7489748852748606
Louisville,1.9035719586236346,-0.40499424641923554,0.76548042264341232
Laredo,2.9499770731445381,0.91968467310224045,1.9273867126173598
Toledo,3.1193815425105891,1.0666368829414907,2.1057275943409492
Rockford,1.3552983739034823,0.68707475021190878,1.0211508522581709
Oklahoma City,1.0250302043836825,0.4218694741489159,0.7263935645654499
Oxnard,-1.6834378352622417,-12.889372621770463,-7.2759080472314848
Tulsa,0.26794054108284654,3.1829286341133796,1.7168706452641374
Jacksonville,4.5703198931976967,-0.044646810605892998,2.2638674293934202
Brownsville,0.98174538848777648,-1.3642039047938597,-0.20105608773859984
Phoenix,4.2555429750348868,2.8941768469222908,3.5243796647737113
Los Angeles,-1.8537310266132905,-16.834396931570843,-9.3388041256360736
Colorado Springs,9.3457859240900838,2.8120550313662465,6.0695193008295831
Lexington,2.0966949987169166,-1.3934958328187477,0.35165400130750868
San Jose,-4.5208040572452104,-10.370565376652332,-7.4096207554155908
Huntsville,1.4504690545481922,0.71598651073004194,1.0879870285769129
Akron,-3.6461257709574371,-0.48156179568730834,-2.0618346470139644
New York,-0.47462452225572421,3.8460113805455007,1.6992004084513881
Amarillo,-2.1641619372054151,-2.7481584426059853,-2.4319656521135089
Tucson,10.351432982409749,4.1678558876520864,7.2204154049441858
Chicago,1.7086096530695016,1.8061738017753555,1.7524586170545333
