placeid,placename,uhitmin,uhitmax,uhitavg
295,Birmingham,0.9720078374748482,1.0986283435145481,1.0326270558449551
23277,Providence,1.547626922685204,2.7182384867746663,2.1325778897641499
27401,Spokane,6.472644927536237,1.3896918299092107,3.9289553140096558
15627,Las Vegas,-1.7328794394011879,0.82382345914955124,-0.42235018985591921
15628,Reno,8.3539090412373582,1.8801661202926141,5.1555690666354081
24846,Lubbock,nan,nan,nan
14098,Saint Louis,1.0579160607933744,1.1051791097576142,1.0763961057803186
12563,Minneapolis,2.4505322924702213,0.90112373915428634,1.6802343322727182
2094,Modesto,4.476800347054855,-0.95703957010258023,1.7659133396264792
5398,Atlanta,0.72360142122369098,0.048959510815535623,0.36786731402298756
24346,Nashville,1.0401944381980428,0.75427979838889314,0.90586369189105653
4388,Orlando,1.7392873764597141,1.1578657366981986,1.4432534038947296
10535,Shreveport,1.1382437624254749,-0.45432924563358768,0.34267511108009785
9013,Des Moines,1.7238705738705704,1.2726017943409289,1.4856837606837416
11068,Baltimore,3.9798339607172295,1.1650400872010209,2.5671313585547324
24387,Memphis,1.3058763532912678,-0.33475021368361979,0.5097263819677238
24395,Knoxville,2.4967033000632597,0.87206196826970483,1.6797747473756459
5968,Boise,2.5111880872750447,-0.028029941073427267,1.2415790731008087
2386,Sacramento,1.1778492178315076,-0.97181202814446976,0.10301859484351894
10467,Baton Rouge,0.80252916086843129,0.60325662695584015,0.70289289391213572
21332,Salem,2.7822426915506497,2.1008057598808278,2.448538287290198
13654,Springfield,0.4233418770851074,-1.1073540574310243,-0.3436263175201475
21867,Pittsburgh,2.4432574610934523,0.58601691904966913,1.5788306159559653
10611,New Orleans,1.2229864326031077,0.85759045129545086,1.0614763445354214
21372,Eugene,-1.7841925465838457,-3.1844513457556758,-2.4843219461697714
12159,Detroit,1.2147703716026612,0.38114372722751,0.77550377400504544
27521,Seattle,2.4347769309206839,-0.35177542867761247,1.0436816187869553
19336,Columbus,1.2708300734710676,1.0432087544281359,1.1687486730496772
2201,Stockton,2.1554151135754651,-0.81668125548918624,0.72308427466160197
4504,Tallahassee,0.074059325985729174,0.05806363915129964,0.050624081080457017
25498,Austin,-0.85845088108526113,-0.91795699042583578,-0.87523054629905062
10140,Louisville,4.0160680578830892,1.6841711104990935,2.8854987394867067
25505,Laredo,3.8498023715415002,3.7929841897233274,3.8213932806324067
19875,Toledo,-1.0505517429430427,-0.023368982064624788,-0.54239233523767894
7077,Rockford,0.47461777353081658,-0.17618251313902533,0.15265169612996488
20903,Oklahoma City,0.68748960991081276,-0.44614783638621702,0.11528241226025671
1963,Oxnard,2.8101203266231849,-3.1022302161041182,-0.089087393707202978
20402,Tulsa,0.51842517124482868,0.98854127791562973,0.73906668201982484
4533,Jacksonville,2.8044808269405337,-0.66964553303840546,1.0945725258445975
954,Phoenix,2.7526418619089412,-1.244899158270556,0.73740003256443742
1979,Los Angeles,-2.3978756007655875,-3.7266142848312569,-3.0717139375345113
3517,Colorado Springs,-0.21965392581016374,0.61197628232275747,0.19197873682860234
10176,Lexington,0.13778069756330069,1.319278547539426,0.72852962255136333
1986,San Jose,1.2890053785510318,-3.6833309420244689,-1.2169994043712506
455,Huntsville,1.5048865896447694,0.64227512763581274,1.0714334891016222
19912,Akron,0.52282949438769322,0.27380208407464579,0.39170223801357906
16861,Brooklyn,1.6405469148987777,0.25371547940342509,0.94627963425820383
25568,Amarillo,1.6161567364465981,-1.277044810927876,0.18701019860441193
1006,Tucson,2.930069266482306,0.85257336432226793,1.9281676656676723
6648,Chicago,1.748942040378175,0.091220174899703466,0.91950198374422598
